09:04:16.152 /home/macfly/Git/contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0

09:04:16.646 Rime started with address 1.0

09:04:16.657 MAC 01:00:00:00:00:00:00:00 Ref ID: 3617

09:04:16.657 Contiki-2.6-2121-gdf2cdbb started. Node id is set to 1.

09:04:16.666 nullmac ContikiMAC, channel check rate 8 Hz, radio channel 26

09:04:16.666 Starting 'Net test'

09:11:10.922 RX 3.0 MSG 204 12345678901234567890123456789012345678901

09:11:13.047 RX 3.0 MSG 205 12345678901234567890123456789012345678901

09:11:15.422 RX 3.0 MSG 206 12345678901234567890123456789012345678901

09:11:19.796 RX 3.0 MSG 209 12345678901234567890123456789012345678901

09:11:26.422 RX 3.0 MSG 212 12345678901234567890123456789012345678901

09:11:28.922 RX 3.0 MSG 213 12345678901234567890123456789012345678901

09:11:31.297 RX 3.0 MSG 214 12345678901234567890123456789012345678901

09:11:34.172 RX 3.0 MSG 215 12345678901234567890123456789012345678901

09:11:36.796 RX 3.0 MSG 216 12345678901234567890123456789012345678901

09:11:39.046 RX 3.0 MSG 217 12345678901234567890123456789012345678901

09:11:41.171 RX 3.0 MSG 218 12345678901234567890123456789012345678901

09:11:43.547 RX 3.0 MSG 219 12345678901234567890123456789012345678901

09:11:44.922 RX 3.0 MSG 220 12345678901234567890123456789012345678901

09:11:46.172 RX 3.0 MSG 221 12345678901234567890123456789012345678901

09:11:48.047 RX 3.0 MSG 222 12345678901234567890123456789012345678901

09:11:50.922 RX 3.0 MSG 223 12345678901234567890123456789012345678901

09:11:51.922 RX 3.0 MSG 224 12345678901234567890123456789012345678901

09:11:53.047 RX 3.0 MSG 225 12345678901234567890123456789012345678901

09:11:54.547 RX 3.0 MSG 226 12345678901234567890123456789012345678901

09:11:58.421 RX 3.0 MSG 228 12345678901234567890123456789012345678901

09:12:00.546 RX 3.0 MSG 229 12345678901234567890123456789012345678901

09:12:02.421 RX 3.0 MSG 230 12345678901234567890123456789012345678901

09:12:04.921 RX 3.0 MSG 232 12345678901234567890123456789012345678901

09:12:07.422 RX 3.0 MSG 233 12345678901234567890123456789012345678901

09:12:09.796 RX 3.0 MSG 234 12345678901234567890123456789012345678901

